PT No.;Sources;Page in Rasmussen 2003;Year BC;Locations in Rasmussen 2003;Location of the specific Prodigy based on Rasmussen 2003;GPS Coordinates;Incidence;Prodigy;Commentary A.K.;Simplicity Rule: Concept;Step 1: Basic Level Membership;Step 2: Ontological Category (Spatial Entity, Solid Object, Living Thing, Animate, Person);Step 3: Transfers (Physicality P, Biology B, Animacy A, Mentality M);Step 4: Breaches (Universals u, Spatiality s, Physicality p, Biology b, Animacy a, Mentality m);Quantified Counterintuitiveness of Concept;Concept Type (INT, CI, MCI (Tr), MCI(Br), CSCH);Quantified Counterintuitiveness of Prodigy;Prodigy Type (INT, CI, MCI (Tr), MCI(Br), CSCH);Step 2a Concept recategorization for Events;Step 2b Concept Type recategorization for Events;Step 2c Prodigy Type recategorization for Events;Concept Type recategorization according to Kavanagh 2014 (CI, CSCH, INT, CI EVENT - corresponding to CI Object/Agent, CSCH Object/Agent, INT Object/Agent/Event[sic], CI Event);Prodigy Type recategorization according to Kavanagh 2014, T1 (CI, CSCH, INT, CI EVENT - corresponding to CI Object/Agent, CSCH Object/Agent, INT Object/Agent/Event[sic], CI Event);Conservative Concept Type Recategorization 1 (CI, CSCH, INT, EVENT - corresponding to CI-MCI (Br)-MCI (Tr)-MCI (Br)/CSCH-MCI (Tr)/CSCH, INT/CSCH, INT, and all events);Conservative Prodigy Type Recategorization 1, T4 (CI, CSCH, INT, EVENT - corresponding to CI-MCI (Br)-MCI (Tr)-MCI (Br)/CSCH-MCI (Tr)/CSCH, INT/CSCH, INT, and all events);Prodigy Typology T2;Prodigy Typology T3
34;"Livy 21.62; Val. Max. 1.6.5; Cass. Dio 13 in Zon. 8.22.5; Livy 21.46.1-3";61-62;218;"Rome (Forum Olitorium; Forum Boarium); Lanuvium; Amiternum; Picenum; Caere; Gallia";;;12;a wolf walks unharmed through Scipio's camp;;wolf walks unharmed through camp;WOLF;Animate;;;0;INT/CSCH;0;INT/CSCH;;INT/CSCH;INT/CSCH;CSCH;CSCH;CSCH;CSCH;CSCH;CSCH
34;"Livy 21.62; Val. Max. 1.6.5; Cass. Dio 13 in Zon. 8.22.5; Livy 21.46.1-3";61-62;218;"Rome (Forum Olitorium; Forum Boarium); Lanuvium; Amiternum; Picenum; Caere; Gallia";;;12;a swarm of bees settles in a tree over Scipio's tent;;a swarm of bees settles in tree over a tent;SWARM;Animate;;;0;INT/CSCH;0;INT/CSCH;;INT/CSCH;INT/CSCH;CSCH;CSCH;CSCH;CSCH;CSCH;CSCH
35;"Livy 22.1.8-20; Val. Max. 1.6.5; Plut. Vit.Fab. Max. 2; Oros. 4.15.1; Macrob. Sat. 1.6.13-14";62-63;217;"Rome (Via Appia); Sicily; Sardinia; Praeneste; Arpi; Capena; Caere; Antium; Falerii; Capua";;;19;on Sicily the spears of soldiers break into flames;;spears break into flames;SPEARS;Solid Object;;p;1;MCI (Br)/CSCH;1;MCI (Br)/CSCH;;MCI (Br)/CSCH;MCI (Br)/CSCH;CI;CI;CI;CI;CI;CI
35;"Livy 22.1.8-20; Val. Max. 1.6.5; Plut. Vit.Fab. Max. 2; Oros. 4.15.1; Macrob. Sat. 1.6.13-14";62-63;217;"Rome (Via Appia); Sicily; Sardinia; Praeneste; Arpi; Capena; Caere; Antium; Falerii; Capua";;;19;on Sardinia, flames spring from the staff of a night watchman;;flames spring from a staff;STAFF;Solid Object;;p;1;MCI (Br)/CSCH;1;MCI (Br)/CSCH;;MCI (Br)/CSCH;MCI (Br)/CSCH;CI;CI;CI;CI;CI;CI
35;"Livy 22.1.8-20; Val. Max. 1.6.5; Plut. Vit.Fab. Max. 2; Oros. 4.15.1; Macrob. Sat. 1.6.13-14";62-63;217;"Rome (Via Appia); Sicily; Sardinia; Praeneste; Arpi; Capena; Caere; Antium; Falerii; Capua";;;19;on the coast many fires occur;;fires occur on the coast;FIRES;Spatial Entity;;;0;INT/CSCH;0;INT/CSCH;EVENT;INT/CSCH EVENT;INT/CSCH EVENT;CSCH;CSCH;EVENT;EVENT;INT;CSCH EVENT
35;"Livy 22.1.8-20; Val. Max. 1.6.5; Plut. Vit.Fab. Max. 2; Oros. 4.15.1; Macrob. Sat. 1.6.13-14";62-63;217;"Rome (Via Appia); Sicily; Sardinia; Praeneste; Arpi; Capena; Caere; Antium; Falerii; Capua";;;19;two shields sweat blood;;shields sweat blood;SHIELDS;Solid Object;B;b;2;CI;2;CI;;CI;CI;CI;CI;CI;CI;CI;CI
35;"Livy 22.1.8-20; Val. Max. 1.6.5; Plut. Vit.Fab. Max. 2; Oros. 4.15.1; Macrob. Sat. 1.6.13-14";62-63;217;"Rome (Via Appia); Sicily; Sardinia; Praeneste; Arpi; Capena; Caere; Antium; Falerii; Capua";;;19;soldiers are struck by lightning;;soldiers struck by lightning;SOLDIERS;Person;;;0;INT/CSCH;0;INT/CSCH;;INT/CSCH;INT/CSCH;CSCH;CSCH;CSCH;CSCH;CSCH;CSCH
35;"Livy 22.1.8-20; Val. Max. 1.6.5; Plut. Vit.Fab. Max. 2; Oros. 4.15.1; Macrob. Sat. 1.6.13-14";62-63;217;"Rome (Via Appia); Sicily; Sardinia; Praeneste; Arpi; Capena; Caere; Antium; Falerii; Capua";;;19;the solar disc seems diminished;;sun is diminished;SUN;Spatial Entity;;s;1;MCI (Br)/CSCH;1;MCI (Br)/CSCH;;MCI (Br)/CSCH;MCI (Br)/CSCH;CI;CI;CI;CI;CI;CI
35;"Livy 22.1.8-20; Val. Max. 1.6.5; Plut. Vit.Fab. Max. 2; Oros. 4.15.1; Macrob. Sat. 1.6.13-14";62-63;217;"Rome (Via Appia); Sicily; Sardinia; Praeneste; Arpi; Capena; Caere; Antium; Falerii; Capua";;;19;in Praeneste burning stones fall from the sky;;burning stones fall from the sky;STONES;Solid Object;;pp;2;CI;2;CI;;CI;CI;CI;CI;CI;CI;CI;CI
35;"Livy 22.1.8-20; Val. Max. 1.6.5; Plut. Vit.Fab. Max. 2; Oros. 4.15.1; Macrob. Sat. 1.6.13-14";62-63;217;"Rome (Via Appia); Sicily; Sardinia; Praeneste; Arpi; Capena; Caere; Antium; Falerii; Capua";;;19;in Arpi shields are seen in the sky;"separated into 2 prodiges from ""in Arpi shields are seen in the sky and the sun seems to be fighting the moon""";shields are seen in the sky;SHIELDS;Solid Object;;s;1;MCI (Br);1;MCI (Br);;MCI (Br);MCI (Br);CI;CI;CI;CI;CI;CI
