PT No.;Sources;Page in Rasmussen 2003;Year BC;Locations in Rasmussen 2003;Location of the specific Prodigy based on Rasmussen 2003;GPS Coordinates;Incidence;Prodigy;Commentary A.K.;Simplicity Rule: Concept;Step 1: Basic Level Membership;Step 2: Ontological Category (Spatial Entity, Solid Object, Living Thing, Animate, Person);Step 3: Transfers (Physicality P, Biology B, Animacy A, Mentality M);Step 4: Breaches (Universals u, Spatiality s, Physicality p, Biology b, Animacy a, Mentality m);Quantified Counterintuitiveness of Concept;Concept Type (INT, CI, MCI (Tr), MCI(Br), CSCH);Quantified Counterintuitiveness of Prodigy;Prodigy Type (INT, CI, MCI (Tr), MCI(Br), CSCH);Step 2a Concept recategorization for Events;Step 2b Concept Type recategorization for Events;Step 2c Prodigy Type recategorization for Events;Concept Type recategorization according to Kavanagh 2014 (CI, CSCH, INT, CI EVENT - corresponding to CI Object/Agent, CSCH Object/Agent, INT Object/Agent/Event[sic], CI Event);Prodigy Type recategorization according to Kavanagh 2014, T1 (CI, CSCH, INT, CI EVENT - corresponding to CI Object/Agent, CSCH Object/Agent, INT Object/Agent/Event[sic], CI Event);Conservative Concept Type Recategorization 1 (CI, CSCH, INT, EVENT - corresponding to CI-MCI (Br)-MCI (Tr)-MCI (Br)/CSCH-MCI (Tr)/CSCH, INT/CSCH, INT, and all events);Conservative Prodigy Type Recategorization 1, T4 (CI, CSCH, INT, EVENT - corresponding to CI-MCI (Br)-MCI (Tr)-MCI (Br)/CSCH-MCI (Tr)/CSCH, INT/CSCH, INT, and all events);Prodigy Typology T2;Prodigy Typology T3
48;"Livy 28.11.1-7; Cass. Dio 17.57-40";70-71;206;"Rome (Circus Flaminius); Tarracina; Satricum; Antium; Caere; Alba; Fregellae; ager Romanus";;;14;the temple of Quirinus is struck by lightning;;lightning strikes a temple;LIGHTNING;Spatial Entity;;;0;INT/CSCH;0;INT/CSCH;EVENT;INT/CSCH EVENT;INT/CSCH EVENT;CSCH;CSCH;EVENT;EVENT;INT;CSCH EVENT
48;"Livy 28.11.1-7; Cass. Dio 17.57-40";70-71;206;"Rome (Circus Flaminius); Tarracina; Satricum; Antium; Caere; Alba; Fregellae; ager Romanus";;;14;the flame at the temple of Vesta goes out, due to the negligence of a Vestal Virgin;;the flame at the temple of Vesta goes out;FLAME;Spatial Entity;;;0;INT/CSCH;0;INT/CSCH;EVENT;INT/CSCH EVENT;INT/CSCH EVENT;CSCH;CSCH;EVENT;EVENT;INT;CSCH EVENT
49;"Livy 29.10.4-8; 29.11; 29.14; Ov. Fast. 4. 179ff; Plin. HN 7.120; App. Hann. 56; auctor ignotus De vir. ill. 46";71;205/204;"Rome; Setia; Tarracina; Anagnia; Lanuvium";;;8;frequent showers of stones;;showers of stones;SHOWERS;Spatial Entity;P;u;2;CI;2;CI;EVENT;CI EVENT;CI EVENT;CI EVENT;CI EVENT;EVENT;EVENT;CI EVENT;CI EVENT
49;"Livy 29.10.4-8; 29.11; 29.14; Ov. Fast. 4. 179ff; Plin. HN 7.120; App. Hann. 56; auctor ignotus De vir. ill. 46";71;205/204;"Rome; Setia; Tarracina; Anagnia; Lanuvium";;;8;two suns;;two suns;SUNS;Spatial Entity;;s;1;MCI (Br);1;MCI (Br);EVENT;MCI (Br) EVENT;MCI (Br) EVENT;CI EVENT;CI EVENT;EVENT;EVENT;CI EVENT;CI EVENT
49;"Livy 29.10.4-8; 29.11; 29.14; Ov. Fast. 4. 179ff; Plin. HN 7.120; App. Hann. 56; auctor ignotus De vir. ill. 46";71;205/204;"Rome; Setia; Tarracina; Anagnia; Lanuvium";;;8;light in the middle of the night;;light in the middle of the night;LIGHT;Spatial Entity;;u;1;MCI (Br);1;MCI (Br);EVENT;MCI (Br) EVENT;MCI (Br) EVENT;CI EVENT;CI EVENT;EVENT;EVENT;CI EVENT;CI EVENT
49;"Livy 29.10.4-8; 29.11; 29.14; Ov. Fast. 4. 179ff; Plin. HN 7.120; App. Hann. 56; auctor ignotus De vir. ill. 46";71;205/204;"Rome; Setia; Tarracina; Anagnia; Lanuvium";;;8;in Setia a meteor is seen to move from east to west;not sure how common meteors were - definitelly CSCH, but unclear whether MCI (Br) or INT;meteor is seen to move from east to west;STONE;Solid Object;P;;1;MCI (Tr);1;MCI (Tr);;MCI (Tr);MCI (Tr);CI;CI;CI;CI;CI;CI
49;"Livy 29.10.4-8; 29.11; 29.14; Ov. Fast. 4. 179ff; Plin. HN 7.120; App. Hann. 56; auctor ignotus De vir. ill. 46";71;205/204;"Rome; Setia; Tarracina; Anagnia; Lanuvium";;;8;in Tarracina lightning strikes a gate;;lightning strikes a gate;LIGHTNING;Spatial Entity;;;0;INT/CSCH;0;INT/CSCH;EVENT;INT/CSCH EVENT;INT/CSCH EVENT;CSCH;CSCH;EVENT;EVENT;INT;CSCH EVENT
49;"Livy 29.10.4-8; 29.11; 29.14; Ov. Fast. 4. 179ff; Plin. HN 7.120; App. Hann. 56; auctor ignotus De vir. ill. 46";71;205/204;"Rome; Setia; Tarracina; Anagnia; Lanuvium";;;8;in Anagnia lightning strikes a gate;;lightning strikes a gate;LIGHTNING;Spatial Entity;;;0;INT/CSCH;0;INT/CSCH;EVENT;INT/CSCH EVENT;INT/CSCH EVENT;CSCH;CSCH;EVENT;EVENT;INT;CSCH EVENT
49;"Livy 29.10.4-8; 29.11; 29.14; Ov. Fast. 4. 179ff; Plin. HN 7.120; App. Hann. 56; auctor ignotus De vir. ill. 46";71;205/204;"Rome; Setia; Tarracina; Anagnia; Lanuvium";;;8;in Anagnia lightning strikes many places in the wall;;lightning strikes a wall;LIGHTNING;Spatial Entity;;;0;INT/CSCH;0;INT/CSCH;EVENT;INT/CSCH EVENT;INT/CSCH EVENT;CSCH;CSCH;EVENT;EVENT;INT;CSCH EVENT
49;"Livy 29.10.4-8; 29.11; 29.14; Ov. Fast. 4. 179ff; Plin. HN 7.120; App. Hann. 56; auctor ignotus De vir. ill. 46";71;205/204;"Rome; Setia; Tarracina; Anagnia; Lanuvium";;;8;in the temple of Juno Sospita in Lanuvium, noise is heard and a dreadful rumble;;noise and rumble in a temple;RUMBLE;Spatial Entity;;;0;INT/CSCH;0;INT/CSCH;EVENT;INT/CSCH EVENT;INT/CSCH EVENT;CSCH;CSCH;EVENT;EVENT;INT;CSCH EVENT
50;Livy 30.2.9-13;71-72;203;"in and outside Rome: Capitoline; Antium; Capua; Reate; Anagnia; Frusino; Arpinum";;;9;ravens eat from the gold on the Capitoline;;ravens eat from the gold on the Capitoline;RAVENS;Animate;;b;1;MCI (Br);1;MCI (Br);;MCI (Br);MCI (Br);CI;CI;CI;CI;CI;CI
50;Livy 30.2.9-13;71-72;203;"in and outside Rome: Capitoline; Antium; Capua; Reate; Anagnia; Frusino; Arpinum";;;9;in Antium mice nibble on a golden wreath;;mice nibble on a golden wreath;MICE;Animate;;b;1;MCI (Br);1;MCI (Br);;MCI (Br);MCI (Br);CI;CI;CI;CI;CI;CI
50;Livy 30.2.9-13;71-72;203;"in and outside Rome: Capitoline; Antium; Capua; Reate; Anagnia; Frusino; Arpinum";;;9;the entire region of Capua is full of locusts;;locusts in the Capua region;LOCUSTS;Animate;;;0;INT/CSCH;0;INT/CSCH;;INT/CSCH;INT/CSCH;CSCH;CSCH;CSCH;CSCH;CSCH;CSCH
50;Livy 30.2.9-13;71-72;203;"in and outside Rome: Capitoline; Antium; Capua; Reate; Anagnia; Frusino; Arpinum";;;9;in Reate a five-footed foal is born;;a five-footed foal is born;FOAL;Animate;;b;1;MCI (Br);1;MCI (Br);;MCI (Br);MCI (Br);CI;CI;CI;CI;CI;CI
50;Livy 30.2.9-13;71-72;203;"in and outside Rome: Capitoline; Antium; Capua; Reate; Anagnia; Frusino; Arpinum";;;9;in Anagnia shooting stars are seen;like fire, are stars considered things, events, or abstractions?;shooting stars are seen;STARS;Spatial Entity;P;;1;MCI (Tr);1;MCI (Tr);;MCI (Tr);MCI (Tr);CI;CI;CI;CI;CI;CI
50;Livy 30.2.9-13;71-72;203;"in and outside Rome: Capitoline; Antium; Capua; Reate; Anagnia; Frusino; Arpinum";;;9;in Anagnia a great meteor is seen;;meteor is seen;STONE;Spatial Entity;P;;1;MCI (Tr);1;MCI (Tr);;MCI (Tr);MCI (Tr);CI;CI;CI;CI;CI;CI
50;Livy 30.2.9-13;71-72;203;"in and outside Rome: Capitoline; Antium; Capua; Reate; Anagnia; Frusino; Arpinum";;;9;in Frusino the sun is surrounded by two rings;;the sun is surrounded by two rings;SUN;Spatial Entity;P;;1;MCI (Tr);1;MCI (Tr);;MCI (Tr);MCI (Tr);CI;CI;CI;CI;CI;CI
50;Livy 30.2.9-13;71-72;203;"in and outside Rome: Capitoline; Antium; Capua; Reate; Anagnia; Frusino; Arpinum";;;9;in Arpinum the earth collapses into a great cavity;;the earth collapses into a great cavity;EARTH;Spatial Entity;P;;1;MCI (Tr);1;MCI (Tr);EVENT;MCI (Tr) EVENT;MCI (Tr) EVENT;CI EVENT;CI EVENT;EVENT;EVENT;CI EVENT;CI EVENT
50;Livy 30.2.9-13;71-72;203;"in and outside Rome: Capitoline; Antium; Capua; Reate; Anagnia; Frusino; Arpinum";;;9;one of the consuls finds the head of the liver absent in his first victim;;head of the liver missing on a victim;VICTIM;Animate;;b;1;MCI (Br);1;MCI (Br);;MCI (Br);MCI (Br);CI;CI;CI;CI;CI;CI
51;Livy 30.38.8-10;72;202;"Rome (Palatine); Cumae; Velitrae; Aricia; Frusino";;;8;in Cumae there is a partial solar eclipse;;there is a partial solar eclipse;SUN;Spatial Entity;;s;1;MCI (Br);1;MCI (Br);EVENT;MCI (Br) EVENT;MCI (Br) EVENT;CI EVENT;CI EVENT;EVENT;EVENT;CI EVENT;CI EVENT
51;Livy 30.38.8-10;72;202;"Rome (Palatine); Cumae; Velitrae; Aricia; Frusino";;;8;in Cumae there is a shower of stones;;shower of stones;SHOWER;Spatial Entity;P;;1;MCI (Tr);1;MCI (Tr);EVENT;MCI (Tr) EVENT;MCI (Tr) EVENT;CI EVENT;CI EVENT;EVENT;EVENT;CI EVENT;CI EVENT
51;Livy 30.38.8-10;72;202;"Rome (Palatine); Cumae; Velitrae; Aricia; Frusino";;;8;in the Velitrae region the earth collapses into deep pits into which trees plummet;;earth collapses into deep pits;EARTH;Spatial Entity;P;;1;MCI (Tr);1;MCI (Tr);EVENT;MCI (Tr) EVENT;MCI (Tr) EVENT;CI EVENT;CI EVENT;EVENT;EVENT;CI EVENT;CI EVENT
51;Livy 30.38.8-10;72;202;"Rome (Palatine); Cumae; Velitrae; Aricia; Frusino";;;8;in the Velitrae region the earth collapses into deep pits into which trees plummet;;trees fall into deep pits;TREES;Living Thing;;;0;INT/CSCH;;;EVENT;INT/CSCH EVENT;;CSCH;;EVENT;;;
51;Livy 30.38.8-10;72;202;"Rome (Palatine); Cumae; Velitrae; Aricia; Frusino";;;8;in Aricia lightning strikes the forum;;lightning strikes the forum;LIGHTNING;Spatial Entity;;;0;INT/CSCH;0;INT/CSCH;EVENT;INT/CSCH EVENT;INT/CSCH EVENT;CSCH;CSCH;EVENT;EVENT;INT;CSCH EVENT
51;Livy 30.38.8-10;72;202;"Rome (Palatine); Cumae; Velitrae; Aricia; Frusino";;;8;in Aricia lightning strikes the shops;;lightning strikes the shops;LIGHTNING;Spatial Entity;;;0;INT/CSCH;0;INT/CSCH;EVENT;INT/CSCH EVENT;INT/CSCH EVENT;CSCH;CSCH;EVENT;EVENT;INT;CSCH EVENT
51;Livy 30.38.8-10;72;202;"Rome (Palatine); Cumae; Velitrae; Aricia; Frusino";;;8;in Frusino lightning strikes several places on the wall;;lightning strikes several places on the wall;LIGHTNING;Spatial Entity;;;0;INT/CSCH;0;INT/CSCH;EVENT;INT/CSCH EVENT;INT/CSCH EVENT;CSCH;CSCH;EVENT;EVENT;INT;CSCH EVENT
51;Livy 30.38.8-10;72;202;"Rome (Palatine); Cumae; Velitrae; Aricia; Frusino";;;8;in Frusino lightning strikes several places in a gate;;lightning strikes several places in a gate;LIGHTNING;Spatial Entity;;;0;INT/CSCH;0;INT/CSCH;EVENT;INT/CSCH EVENT;INT/CSCH EVENT;CSCH;CSCH;EVENT;EVENT;INT;CSCH EVENT
51;Livy 30.38.8-10;72;202;"Rome (Palatine); Cumae; Velitrae; Aricia; Frusino";;;8;there is a shower of stones on the Palatine;;shower of stone;SHOWER;Spatial Entity;P;;1;MCI (Tr);1;MCI (Tr);EVENT;MCI (Tr) EVENT;MCI (Tr) EVENT;CI EVENT;CI EVENT;EVENT;EVENT;CI EVENT;CI EVENT
52;Livy 31.12.5-10;72-73;200;"Lucania; Privernum; Lanuvium; Sabini; Frusino; Sinuessa;";;;8;in Lucania flames are seen in the sky;;flames are seen in the sky;FLAMES;Spatial Entity;;s;1;MCI (Br);1;MCI (Br);EVENT;MCI (Br) EVENT;MCI (Br) EVENT;CI EVENT;CI EVENT;EVENT;EVENT;CI EVENT;CI EVENT
52;Livy 31.12.5-10;72-73;200;"Lucania; Privernum; Lanuvium; Sabini; Frusino; Sinuessa;";;;8;in Privernum the sun is red all day;;sun is red all day;SUN;Spatial Entity;;uu;2;CI;2;CI;;CI;CI;CI;CI;CI;CI;CI;CI
52;Livy 31.12.5-10;72-73;200;"Lucania; Privernum; Lanuvium; Sabini; Frusino; Sinuessa;";;;8;in the temple of Juno Sospita in Lanuvium a great noise is heard at night;; a great noise is heard at night at temple;NOISE;Spatial Entity;;;0;INT/CSCH;0;INT/CSCH;EVENT;INT/CSCH EVENT;INT/CSCH EVENT;CSCH;CSCH;EVENT;EVENT;INT;CSCH EVENT
52;Livy 31.12.5-10;72-73;200;"Lucania; Privernum; Lanuvium; Sabini; Frusino; Sinuessa;";;;8;in the Sabine territory a hermaphrodite is born;;a hermaphrodite is born;HERMAPHRODITE;Person;;b;1;MCI (Br);1;MCI (Br);;MCI (Br);MCI (Br);CI;CI;CI;CI;CI;CI
52;Livy 31.12.5-10;72-73;200;"Lucania; Privernum; Lanuvium; Sabini; Frusino; Sinuessa;";;;8;in the Sabine territory a sixteen-year-old hermaphrodite is found;;a hermaphrodite is born;HERMAPHRODITE;Person;;b;1;MCI (Br);1;MCI (Br);;MCI (Br);MCI (Br);CI;CI;CI;CI;CI;CI
52;Livy 31.12.5-10;72-73;200;"Lucania; Privernum; Lanuvium; Sabini; Frusino; Sinuessa;";;;8;in Frusino a lamb with a pig's head is born;;a lamb with a pig's head is born;LAMB;Animate;;b;1;MCI (Br);1;MCI (Br);;MCI (Br);MCI (Br);CI;CI;CI;CI;CI;CI
52;Livy 31.12.5-10;72-73;200;"Lucania; Privernum; Lanuvium; Sabini; Frusino; Sinuessa;";;;8;in Sinuessa a pig with a human head is born;;a pig with a human head is born;PIG;Animate;;b;1;MCI (Br);1;MCI (Br);;MCI (Br);MCI (Br);CI;CI;CI;CI;CI;CI
52;Livy 31.12.5-10;72-73;200;"Lucania; Privernum; Lanuvium; Sabini; Frusino; Sinuessa;";;;8;in Lucania a fivefooted foal;;a fivefooted foal is born;FOAL;Animate;;b;1;MCI (Br);1;MCI (Br);;MCI (Br);MCI (Br);CI;CI;CI;CI;CI;CI
53;Livy 32.1.10-14 Livy Per. 32;73-74;199;"Suessa; Formiae; Ostia; Velitrae; Bruttium; Macedonia";;;11;in Suessa the wall is struck by lightning;;lightning strikes the wall;LIGHTNING;Spatial Entity;;;0;INT/CSCH;0;INT/CSCH;EVENT;INT/CSCH EVENT;INT/CSCH EVENT;CSCH;CSCH;EVENT;EVENT;INT;CSCH EVENT
53;Livy 32.1.10-14 Livy Per. 32;73-74;199;"Suessa; Formiae; Ostia; Velitrae; Bruttium; Macedonia";;;11;in Suessa one gate is struck by lightning;;lightning strikes the gate;LIGHTNING;Spatial Entity;;;0;INT/CSCH;0;INT/CSCH;EVENT;INT/CSCH EVENT;INT/CSCH EVENT;CSCH;CSCH;EVENT;EVENT;INT;CSCH EVENT
53;Livy 32.1.10-14 Livy Per. 32;73-74;199;"Suessa; Formiae; Ostia; Velitrae; Bruttium; Macedonia";;;11;in Suessa another gate is struck by lightning;;lightning strikes the gate;LIGHTNING;Spatial Entity;;;0;INT/CSCH;0;INT/CSCH;EVENT;INT/CSCH EVENT;INT/CSCH EVENT;CSCH;CSCH;EVENT;EVENT;INT;CSCH EVENT
53;Livy 32.1.10-14 Livy Per. 32;73-74;199;"Suessa; Formiae; Ostia; Velitrae; Bruttium; Macedonia";;;11;in Formiae the temple of Jupiter is struck;;lightning strikes the temple;LIGHTNING;Spatial Entity;;;0;INT/CSCH;0;INT/CSCH;EVENT;INT/CSCH EVENT;INT/CSCH EVENT;CSCH;CSCH;EVENT;EVENT;INT;CSCH EVENT
53;Livy 32.1.10-14 Livy Per. 32;73-74;199;"Suessa; Formiae; Ostia; Velitrae; Bruttium; Macedonia";;;11;in Ostia the temple of Jupiter is struck;;lightning strikes the temple;LIGHTNING;Spatial Entity;;;0;INT/CSCH;0;INT/CSCH;EVENT;INT/CSCH EVENT;INT/CSCH EVENT;CSCH;CSCH;EVENT;EVENT;INT;CSCH EVENT
53;Livy 32.1.10-14 Livy Per. 32;73-74;199;"Suessa; Formiae; Ostia; Velitrae; Bruttium; Macedonia";;;11;in Velitrae the temple of Apollo is struck;;lightning strikes the temple;LIGHTNING;Spatial Entity;;;0;INT/CSCH;0;INT/CSCH;EVENT;INT/CSCH EVENT;INT/CSCH EVENT;CSCH;CSCH;EVENT;EVENT;INT;CSCH EVENT
53;Livy 32.1.10-14 Livy Per. 32;73-74;199;"Suessa; Formiae; Ostia; Velitrae; Bruttium; Macedonia";;;11;in Velitrae the temple of Sangus is struck;;lightning strikes the temple;LIGHTNING;Spatial Entity;;;0;INT/CSCH;0;INT/CSCH;EVENT;INT/CSCH EVENT;INT/CSCH EVENT;CSCH;CSCH;EVENT;EVENT;INT;CSCH EVENT
53;Livy 32.1.10-14 Livy Per. 32;73-74;199;"Suessa; Formiae; Ostia; Velitrae; Bruttium; Macedonia";;;11;and hair grows in the temple of Hercules;;hair grows in the temple;TEMPLE;Spatial Entity;B;;1;MCI (Tr);1;MCI (Tr);;MCI (Tr);MCI (Tr);CI;CI;CI;CI;CI;CI
53;Livy 32.1.10-14 Livy Per. 32;73-74;199;"Suessa; Formiae; Ostia; Velitrae; Bruttium; Macedonia";;;11;in Bruttium a fivefooted foal is born;;a fivefooted foal is born;FOAL;Animate;;b;1;MCI (Br);1;MCI (Br);;MCI (Br);MCI (Br);CI;CI;CI;CI;CI;CI
53;Livy 32.1.10-14 Livy Per. 32;73-74;199;"Suessa; Formiae; Ostia; Velitrae; Bruttium; Macedonia";;;11;and three chicks each with three feet are born;;three chicks each with three feet are born;CHICKS;Animate;;b;1;MCI (Br);1;MCI (Br);;MCI (Br);MCI (Br);CI;CI;CI;CI;CI;CI
53;Livy 32.1.10-14 Livy Per. 32;73-74;199;"Suessa; Formiae; Ostia; Velitrae; Bruttium; Macedonia";;;11;in Macedonia a laurel grows up from the stern of a longship;;a laurel grows up from the stern of a longship;PLANT;Living Thing;;s;1;MCI (Br);1;MCI (Br);;MCI (Br);MCI (Br);CI;CI;CI;CI;CI;CI
54;Livy 32.9.2-4;74;198;"Veii; Lanuvium; Ardea; Capua; Arretium; Velitrae; Suessa Aurunca; Sinuessa";;;10;in Veii lightning strikes a public road;;lightning strikes a road;LIGHTNING;Spatial Entity;;;0;INT/CSCH;0;INT/CSCH;EVENT;INT/CSCH EVENT;INT/CSCH EVENT;CSCH;CSCH;EVENT;EVENT;INT;CSCH EVENT
54;Livy 32.9.2-4;74;198;"Veii; Lanuvium; Ardea; Capua; Arretium; Velitrae; Suessa Aurunca; Sinuessa";;;10;in Lanuvium the temple of Jupiter is struck;;lightning strikes a temple;LIGHTNING;Spatial Entity;;;0;INT/CSCH;0;INT/CSCH;EVENT;INT/CSCH EVENT;INT/CSCH EVENT;CSCH;CSCH;EVENT;EVENT;INT;CSCH EVENT
54;Livy 32.9.2-4;74;198;"Veii; Lanuvium; Ardea; Capua; Arretium; Velitrae; Suessa Aurunca; Sinuessa";;;10;in Ardea the temple of Hercules;;lightning strikes a temple;LIGHTNING;Spatial Entity;;;0;INT/CSCH;0;INT/CSCH;EVENT;INT/CSCH EVENT;INT/CSCH EVENT;CSCH;CSCH;EVENT;EVENT;INT;CSCH EVENT
54;Livy 32.9.2-4;74;198;"Veii; Lanuvium; Ardea; Capua; Arretium; Velitrae; Suessa Aurunca; Sinuessa";;;10;in Capua a wall is struck;;lightning strikes a wall;LIGHTNING;Spatial Entity;;;0;INT/CSCH;0;INT/CSCH;EVENT;INT/CSCH EVENT;INT/CSCH EVENT;CSCH;CSCH;EVENT;EVENT;INT;CSCH EVENT
54;Livy 32.9.2-4;74;198;"Veii; Lanuvium; Ardea; Capua; Arretium; Velitrae; Suessa Aurunca; Sinuessa";;;10;in Capua towers are struck;;lightning strikes towers;LIGHTNING;Spatial Entity;;;0;INT/CSCH;0;INT/CSCH;EVENT;INT/CSCH EVENT;INT/CSCH EVENT;CSCH;CSCH;EVENT;EVENT;INT;CSCH EVENT
54;Livy 32.9.2-4;74;198;"Veii; Lanuvium; Ardea; Capua; Arretium; Velitrae; Suessa Aurunca; Sinuessa";;;10;in Capua the so-called White Shrine is struck;;lightning strikes a shrine;LIGHTNING;Spatial Entity;;;0;INT/CSCH;0;INT/CSCH;EVENT;INT/CSCH EVENT;INT/CSCH EVENT;CSCH;CSCH;EVENT;EVENT;INT;CSCH EVENT
54;Livy 32.9.2-4;74;198;"Veii; Lanuvium; Ardea; Capua; Arretium; Velitrae; Suessa Aurunca; Sinuessa";;;10;in Anetium the sky seems to be burning;;sky seems to be burning;FIRE;Spatial Entity;;s;1;MCI (Br);1;MCI (Br);EVENT;MCI (Br) EVENT;MCI (Br) EVENT;CI EVENT;CI EVENT;EVENT;EVENT;CI EVENT;CI EVENT
54;Livy 32.9.2-4;74;198;"Veii; Lanuvium; Ardea; Capua; Arretium; Velitrae; Suessa Aurunca; Sinuessa";;;10;in Velitrae the earth collapses into a pit three iugera wide;;earth collapses into a pit;EARTH;Spatial Entity;P;;1;MCI (Tr);1;MCI (Tr);EVENT;MCI (Tr) EVENT;MCI (Tr) EVENT;CI EVENT;CI EVENT;EVENT;EVENT;CI EVENT;CI EVENT
54;Livy 32.9.2-4;74;198;"Veii; Lanuvium; Ardea; Capua; Arretium; Velitrae; Suessa Aurunca; Sinuessa";;;10;in Suessa Aurunca a two-headed lamb is born;;a two-headed lamb is born;LAMB;Animate;;b;1;MCI (Br);1;MCI (Br);;MCI (Br);MCI (Br);CI;CI;CI;CI;CI;CI
54;Livy 32.9.2-4;74;198;"Veii; Lanuvium; Ardea; Capua; Arretium; Velitrae; Suessa Aurunca; Sinuessa";;;10;and in Sinuessa a pig with a human head is born;;a pig with a human head is born;PIG;Animate;;b;1;MCI (Br);1;MCI (Br);;MCI (Br);MCI (Br);CI;CI;CI;CI;CI;CI
55;Livy 32.29.1-2;74;197;"Rome (Capitoline); Fregenae; Frusino; Aefula; Formiae";;;9;in Rome lightning strikes the temple of Vulcan;it seems that only 8 prodigies are linked to this year, not 9 (cf. Livy 32.29.1-2);lightning strikes a temple;LIGHTNING;Spatial Entity;;;0;INT/CSCH;0;INT/CSCH;EVENT;INT/CSCH EVENT;INT/CSCH EVENT;CSCH;CSCH;EVENT;EVENT;INT;CSCH EVENT
55;Livy 32.29.1-2;74;197;"Rome (Capitoline); Fregenae; Frusino; Aefula; Formiae";;;9;in Rome lightning strikes the temple of Summanu;it seems that only 8 prodigies are linked to this year, not 9 (cf. Livy 32.29.1-2);lightning strikes a temple;LIGHTNING;Spatial Entity;;;0;INT/CSCH;0;INT/CSCH;EVENT;INT/CSCH EVENT;INT/CSCH EVENT;CSCH;CSCH;EVENT;EVENT;INT;CSCH EVENT
55;Livy 32.29.1-2;74;197;"Rome (Capitoline); Fregenae; Frusino; Aefula; Formiae";;;9;in Rome a wolf runs up onto the Capitoline;it seems that only 8 prodigies are linked to this year, not 9 (cf. Livy 32.29.1-2);wolf runs up onto the Capitoline;WOLF;Animate;;;0;INT/CSCH;0;INT/CSCH;;INT/CSCH;INT/CSCH;CSCH;CSCH;CSCH;CSCH;CSCH;CSCH
55;Livy 32.29.1-2;74;197;"Rome (Capitoline); Fregenae; Frusino; Aefula; Formiae";;;9;in Fregenae lightning strikes walls;it seems that only 8 prodigies are linked to this year, not 9 (cf. Livy 32.29.1-2);lightning strikes walls;LIGHTNING;Spatial Entity;;;0;INT/CSCH;0;INT/CSCH;EVENT;INT/CSCH EVENT;INT/CSCH EVENT;CSCH;CSCH;EVENT;EVENT;INT;CSCH EVENT
55;Livy 32.29.1-2;74;197;"Rome (Capitoline); Fregenae; Frusino; Aefula; Formiae";;;9;in Fregenae lightning strikes gates;it seems that only 8 prodigies are linked to this year, not 9 (cf. Livy 32.29.1-2);lightning strikes gates;LIGHTNING;Spatial Entity;;;0;INT/CSCH;0;INT/CSCH;EVENT;INT/CSCH EVENT;INT/CSCH EVENT;CSCH;CSCH;EVENT;EVENT;INT;CSCH EVENT
55;Livy 32.29.1-2;74;197;"Rome (Capitoline); Fregenae; Frusino; Aefula; Formiae";;;9;in Frusino it is light at night;it seems that only 8 prodigies are linked to this year, not 9 (cf. Livy 32.29.1-2);light at night;LIGHT;Spatial Entity;;s;1;MCI (Br);1;MCI (Br);EVENT;MCI (Br) EVENT;MCI (Br) EVENT;CI EVENT;CI EVENT;EVENT;EVENT;CI EVENT;CI EVENT
55;Livy 32.29.1-2;74;197;"Rome (Capitoline); Fregenae; Frusino; Aefula; Formiae";;;9;in Aefula a two-headed lamb with five feet is born;it seems that only 8 prodigies are linked to this year, not 9 (cf. Livy 32.29.1-2);a two-headed lamb with five feet is born;LAMB;Animate;;bb;2;CI;2;CI;;CI;CI;CI;CI;CI;CI;CI;CI
55;Livy 32.29.1-2;74;197;"Rome (Capitoline); Fregenae; Frusino; Aefula; Formiae";;;9;in Formiae two wolves run through the city and mangle passers-by;it seems that only 8 prodigies are linked to this year, not 9 (cf. Livy 32.29.1-2);two wolves run through the city and mangle passers-by;WOLVES;Animate;;;0;INT/CSCH;0;INT/CSCH;;INT/CSCH;INT/CSCH;CSCH;CSCH;CSCH;CSCH;CSCH;CSCH
56;Livy 33.26.7-9;74-75;196;"Rome; Sabine territory; Capena";;;4;a Roman equestrian and his horse are killed by lightning in the Sabine territory;;a Roman equestrian and his horse are killed by lightning;LIGHTNING;Spatial Entity;;;0;INT/CSCH;0;INT/CSCH;EVENT;INT/CSCH EVENT;INT/CSCH EVENT;CSCH;CSCH;EVENT;EVENT;INT;CSCH EVENT
56;Livy 33.26.7-9;74-75;196;"Rome; Sabine territory; Capena";;;4;in Capena lightning strikes the temple of Feronia;;lightning strikes a temple;LIGHTNING;Spatial Entity;;;0;INT/CSCH;0;INT/CSCH;EVENT;INT/CSCH EVENT;INT/CSCH EVENT;CSCH;CSCH;EVENT;EVENT;INT;CSCH EVENT
56;Livy 33.26.7-9;74-75;196;"Rome; Sabine territory; Capena";;;4;at the temple of Moneta two lance points burn;;lance points burn;LANCE;Solid Object;;p;1;MCI (Br);1;MCI (Br);;MCI (Br);MCI (Br);CI;CI;CI;CI;CI;CI
56;Livy 33.26.7-9;74-75;196;"Rome; Sabine territory; Capena";;;4;a wolf runs through the city;;a wolf runs through the city;WOLF;Animate;;;0;INT/CSCH;0;INT/CSCH;;INT/CSCH;INT/CSCH;CSCH;CSCH;CSCH;CSCH;CSCH;CSCH
